class,type/scale,name,relevance,text,help,language,mandatory,order,value,other
Q,L,Q201,"{BANK == ""B2"" and (YEAR == ""2"" or YEAR == ""3"" or YEAR == ""4"")}",Kỹ thuật nào giúp giảm thiểu hiện tượng ảo giác (Hallucination) của LLM?,Chọn đáp án đúng,vi,Y,0,
A,,Q201_A,1,RAG - Retrieval-Augmented Generation (Đáp án đúng),,vi,,0,A
A,,Q201_B,1,Tăng nhiệt độ (Temperature),,vi,,1,B
A,,Q201_C,1,Giảm độ dài prompt,,vi,,2,C
Q,5,Q202,"{BANK == ""B2"" and (YEAR == ""2"" or YEAR == ""3"" or YEAR == ""4"")}",Đánh giá mức độ thành thạo tích hợp API AI vào ứng dụng thực tế?,Thang điểm 1-5,vi,Y,1,
G,,G4_RESULT,"{BANK == ""B2""}",Phần 3: Kết quả Điểm số & Rẻo nhánh theo xếp loại,Tính toán điểm phần trăm và chuyển hướng theo 3 phân loại điểm,vi,,3,
Q,*,SCORE,"{BANK == ""B2""}",Điểm số: {SCORE}/100,Hàm tính điểm phần trăm tự động từ câu hỏi kiểm tra,vi,N,0,"round((if(YEAR==""1"", if(Q101==""B"",1,0) + Q102.NAOK/5, if(Q201==""A"",1,0) + Q202.NAOK/5) / 2) * 100, 1)"
Q,L,BRANCH_EXCELLENT,"{SCORE >= 80}",Chúc mừng! Bạn đạt Xếp loại Xuất sắc (>= 80%). Bạn có muốn đăng ký cấp Giấy khen/Chứng chỉ AI LAB?,Nhánh dành riêng cho sinh viên đạt điểm Xuất sắc,vi,N,1,
A,,BRANCH_EXCELLENT_Y,1,Có, Đăng ký cấp chứng chỉ ngay,,vi,,0,Y
A,,BRANCH_EXCELLENT_N,1,Chưa, Để sau,,vi,,1,N
Q,L,BRANCH_GOOD,"{SCORE >= 50 and SCORE < 80}",Bạn đạt Xếp loại Khá/Trung bình (50% - 79%). Bạn có muốn thử lại bài đánh giá nâng cao không?,Nhánh dành cho sinh viên đạt mức Đạt,vi,N,2,
A,,BRANCH_GOOD_Y,1,Có, Tôi muốn thử sức lại,,vi,,0,Y
A,,BRANCH_GOOD_N,1,Không, Tôi giữ kết quả này,,vi,,1,N
Q,L,BRANCH_REMEDIAL,"{SCORE < 50}",Kết quả dưới 50% (Cần bổ trợ). Bạn có muốn đăng ký tham gia khóa học bổ trợ kiến thức AI căn bản miễn phí không?,Nhánh dành cho sinh viên cần bổ trợ kiến thức,vi,N,3,
A,,BRANCH_REMEDIAL_Y,1,Có, Đăng ký khóa học bổ trợ miễn phí,,vi,,0,Y
A,,BRANCH_REMEDIAL_N,1,Chưa, Tôi tự ôn tập lại,,vi,,1,N
V,,VCSCORE,1,VCSCORE,,vi,,0,SCORE
